year,noc,athletes
1992,NZL,139
1992,OMA,5
1992,PAK,27
1992,PAN,5
1992,PAR,27
1992,PER,16
1992,PHI,27
1992,PNG,13
1992,POL,254
1992,POR,90
1992,PRK,84
1992,PUR,77
1992,QAT,28
1992,ROU,196
1992,RSA,93
1992,RWA,10
1992,SAM,5
1992,SEN,22
1992,SEY,11
1992,SGP,14
1992,SLE,11
1992,SLO,62
1992,SMR,20
1992,SOL,1
1992,SRI,11
1992,SUD,6
1992,SUI,176
1992,SUR,6
1992,SWE,260
1992,SWZ,7
1992,SYR,8
1992,TAN,9
1992,TCH,282
1992,TGA,5
1992,THA,46
1992,TOG,6
1992,TPE,39
1992,TTO,7
1992,TUN,13
1992,TUR,49
1992,UAE,13
1992,UGA,8
1992,URU,16
1992,USA,693
1992,VAN,6
1992,VEN,26
1992,VIE,7
1992,VIN,6
1992,YEM,8
1992,YUG,25
1992,ZAM,9
1992,ZIM,19
1994,AND,6
1994,ARG,10
1994,ARM,2
1994,ASA,2
1994,AUS,25
1994,AUT,80
1994,BEL,5
1994,BER,1
1994,BIH,10
1994,BLR,33
1994,BRA,1
1994,BUL,17
1994,CAN,95
1994,CHI,3
1994,CHN,24
1994,CRO,3
1994,CYP,1
1994,CZE,63
1994,DEN,4
1994,ESP,13
1994,EST,26
1994,FIJ,1
1994,FIN,61
1994,FRA,98
1994,GBR,32
1994,GEO,5
1994,GER,112
1994,GRE,9
1994,HUN,16
1994,ISL,5
1994,ISR,1
1994,ISV,8
1994,ITA,104
1994,JAM,4
1994,JPN,59
1994,KAZ,29
1994,KGZ,1
1994,KOR,21
1994,LAT,27
1994,LIE,10
1994,LTU,6
1994,LUX,1
1994,MDA,2
1994,MEX,1
1994,MGL,1
1994,MON,5
1994,NED,21
1994,NOR,87
1994,NZL,7
1994,POL,28
1994,POR,1
1994,PUR,5
1994,ROU,23
1994,RSA,2
1994,RUS,113
1994,SEN,1
1994,SLO,22
1994,SMR,3
1994,SUI,59
1994,SVK,42
1994,SWE,84
1994,TPE,2
1994,TTO,2
1994,TUR,1
1994,UKR,37
1994,USA,148
1994,UZB,7
1996,AFG,2
1996,AHO,6
1996,ALB,7
1996,ALG,45
1996,AND,8
1996,ANG,28
1996,ANT,13
1996,ARG,179
1996,ARM,32
1996,ARU,3
1996,ASA,7
1996,AUS,417
1996,AUT,72
1996,AZE,23
1996,BAH,26
1996,BAN,4
1996,BAR,13
1996,BDI,7
1996,BEL,61
1996,BEN,5
1996,BER,9
1996,BHU,2
1996,BIH,9
1996,BIZ,5
1996,BLR,157
1996,BOL,8
1996,BOT,7
1996,BRA,221
1996,BRN,5
1996,BRU,1
1996,BUL,110
1996,BUR,5
1996,CAF,5
1996,CAM,5
1996,CAN,303
1996,CAY,9
1996,CGO,5
1996,CHA,4
1996,CHI,21
1996,CHN,294
1996,CIV,11
1996,CMR,15
1996,COD,14
1996,COK,3
1996,COL,48
1996,COM,4
1996,CPV,3
1996,CRC,11
1996,CRO,84
1996,CUB,164
1996,CYP,17
1996,CZE,115
1996,DEN,119
1996,DJI,5
1996,DMA,6
1996,DOM,16
1996,ECU,19
1996,EGY,29
1996,ESA,8
1996,ESP,289
1996,EST,43
1996,ETH,18
1996,FIJ,17
1996,FIN,76
1996,FRA,299
1996,GAB,7
1996,GAM,9
1996,GBR,300
1996,GBS,3
1996,GEO,34
1996,GEQ,5
1996,GER,466
1996,GHA,35
1996,GRE,121
1996,GRN,5
1996,GUA,26
1996,GUI,5
1996,GUM,8
1996,GUY,7
1996,HAI,7
1996,HKG,23
1996,HON,7
1996,HUN,213
1996,INA,40
1996,IND,49
1996,IRI,18
1996,IRL,78
1996,IRQ,3
1996,ISL,9
1996,ISR,25
1996,ISV,12
1996,ITA,340
1996,IVB,7
1996,JAM,46
1996,JOR,5
1996,JPN,306
1996,KAZ,96
1996,KEN,52
1996,KGZ,33
1996,KOR,303
1996,KSA,29
1996,KUW,25
1996,LAO,5
1996,LAT,47
1996,LBA,5
1996,LBR,5
1996,LCA,6
1996,LES,9
1996,LIB,1
1996,LIE,2
1996,LTU,61
1996,LUX,6
1996,MAD,11
1996,MAR,34
1996,MAS,35
1996,MAW,2
1996,MDA,40
1996,MDV,6
1996,MEX,98
1996,MGL,16
1996,MKD,11
1996,MLI,3
1996,MLT,7
1996,MON,3
1996,MOZ,3
1996,MRI,26
1996,MTN,4
1996,MYA,3
1996,NAM,8
1996,NCA,26
1996,NED,239
1996,NEP,6
1996,NGR,65
1996,NIG,3
1996,NOR,97
1996,NRU,3
1996,NZL,95
1996,OMA,4
1996,PAK,24
1996,PAN,7
1996,PAR,7
1996,PER,29
1996,PHI,12
1996,PLE,1
1996,PNG,11
1996,POL,165
1996,POR,107
1996,PRK,24
1996,PUR,69
1996,QAT,12
1996,ROU,165
1996,RSA,84
1996,RUS,390
1996,RWA,4
1996,SAM,5
1996,SCG,68
1996,SEN,11
1996,SEY,9
1996,SGP,14
1996,SKN,10
1996,SLE,14
1996,SLO,37
1996,SMR,7
1996,SOL,4
1996,SOM,4
1996,SRI,9
1996,STP,2
1996,SUD,4
1996,SUI,115
1996,SUR,7
1996,SVK,71
1996,SWE,177
1996,SWZ,6
1996,SYR,7
1996,TAN,7
1996,TGA,5
1996,THA,37
1996,TJK,8
1996,TKM,7
1996,TOG,5
1996,TPE,74
1996,TTO,12
1996,TUN,51
1996,TUR,53
1996,UAE,4
1996,UGA,10
1996,UKR,231
1996,URU,14
1996,USA,648
1996,UZB,71
1996,VAN,4
1996,VEN,39
1996,VIE,6
1996,VIN,8
1996,YEM,4
1996,ZAM,8
1996,ZIM,13
1998,AND,3
1998,ARG,2
1998,ARM,7
1998,AUS,23
1998,AUT,96
1998,AZE,4
1998,BEL,1
1998,BER,1
1998,BIH,8
1998,BLR,59
1998,BRA,1
1998,BUL,19
1998,CAN,144
1998,CHI,3
1998,CHN,57
1998,CRO,6
1998,CYP,1
1998,CZE,61
1998,DEN,12
1998,ESP,12
1998,EST,20
1998,FIN,85
1998,FRA,106
1998,GBR,34
1998,GEO,4
1998,GER,125
1998,GRE,13
1998,HUN,17
1998,IND,1
1998,IRI,1
1998,IRL,6
1998,ISL,7
1998,ISR,3
1998,ISV,7
1998,ITA,113
1998,JAM,6
1998,JPN,156
1998,KAZ,60
1998,KEN,1
1998,KGZ,1
1998,KOR,37
1998,LAT,29
1998,LIE,8
1998,LTU,7
1998,LUX,1
1998,MDA,2
1998,MGL,3
1998,MKD,3
1998,MON,4
1998,NED,22
1998,NOR,75
1998,NZL,8
1998,POL,39
1998,POR,2
1998,PRK,8
1998,PUR,6
1998,ROU,16
1998,RSA,2
1998,RUS,122
1998,SCG,2
1998,SLO,34
1998,SUI,69
1998,SVK,37
1998,SWE,99
1998,TPE,7
1998,TTO,2
1998,TUR,1
1998,UKR,56
1998,URU,1
1998,USA,186
1998,UZB,4
1998,VEN,1
2000,AHO,7
2000,ALB,4
2000,ALG,47
2000,AND,5
2000,ANG,30
2000,ANT,3
2000,ARG,143
2000,ARM,25
2000,ARU,5
2000,ASA,4
2000,AUS,617
2000,AUT,92
2000,AZE,31
2000,BAH,25
2000,BAN,5
2000,BAR,18
2000,BDI,6
2000,BEL,68
2000,BEN,4
2000,BER,6
2000,BHU,2
2000,BIH,9
2000,BIZ,2
2000,BLR,139
2000,BOL,5
2000,BOT,7
2000,BRA,198
2000,BRN,4
2000,BRU,2
2000,BUL,91
2000,BUR,4
2000,CAF,3
2000,CAM,4
2000,CAN,294
2000,CAY,3
2000,CGO,5
2000,CHA,2
2000,CHI,50
2000,CHN,271
2000,CIV,14
2000,CMR,34
2000,COD,2
2000,COK,2
2000,COL,44
2000,COM,2
2000,CPV,2
2000,CRC,7
2000,CRO,88
2000,CUB,229
2000,CYP,22
2000,CZE,119
2000,DEN,97
2000,DJI,2
2000,DMA,4
2000,DOM,13
2000,ECU,10
2000,EGY,89
2000,ERI,3
2000,ESA,8
2000,ESP,321
2000,EST,33
2000,ETH,26
2000,FIJ,7
2000,FIN,70
2000,FRA,336
2000,FSM,5
2000,GAB,5
2000,GAM,2
2000,GBR,310
2000,GBS,3
2000,GEO,36
2000,GEQ,4
2000,GER,422
2000,GHA,22
2000,GRE,140
2000,GRN,3
2000,GUA,15
2000,GUI,6
2000,GUM,7
2000,GUY,4
2000,HAI,5
2000,HKG,31
2000,HON,20
2000,HUN,178
2000,INA,47
2000,IND,65
2000,IOA,4
2000,IRI,33
2000,IRL,64
2000,IRQ,4
2000,ISL,18
2000,ISR,39
2000,ISV,9
2000,ITA,361
2000,IVB,1
2000,JAM,48
2000,JOR,8
2000,JPN,266
2000,KAZ,130
2000,KEN,56
2000,KGZ,48
2000,KOR,281
2000,KSA,18
2000,KUW,29
2000,LAO,3
2000,LAT,45
2000,LBA,3
2000,LBR,8
2000,LCA,5
2000,LES,6
2000,LIB,6
2000,LIE,2
2000,LTU,61
2000,LUX,7
2000,MAD,11
2000,MAR,55
2000,MAS,40
2000,MAW,2
2000,MDA,34
2000,MDV,4
2000,MEX,78
2000,MGL,20
2000,MKD,10
2000,MLI,5
2000,MLT,7
2000,MON,4
2000,MOZ,4
2000,MRI,20
2000,MTN,2
2000,MYA,7
2000,NAM,11
2000,NCA,6
2000,NED,231
2000,NEP,5
2000,NGR,83
2000,NIG,4
2000,NOR,93
2000,NRU,2
2000,NZL,147
2000,OMA,6
2000,PAK,27
2000,PAN,6
2000,PAR,5
2000,PER,21
2000,PHI,20
2000,PLE,2
2000,PLW,5
2000,PNG,5
2000,POL,187
2000,POR,61
2000,PRK,31
2000,PUR,29
2000,QAT,17
2000,ROU,145
2000,RSA,127
2000,RUS,435
2000,RWA,5
2000,SAM,5
2000,SCG,109
2000,SEN,26
2000,SEY,9
2000,SGP,14
2000,SKN,2
2000,SLE,3
2000,SLO,74
2000,SMR,4
2000,SOL,2
2000,SOM,2
2000,SRI,18
2000,STP,2
2000,SUD,3
2000,SUI,102
2000,SUR,4
2000,SVK,108
2000,SWE,150
2000,SWZ,6
2000,SYR,8
2000,TAN,4
2000,TGA,3
2000,THA,52
2000,TJK,4
2000,TKM,8
2000,TOG,3
2000,TPE,55
2000,TTO,19
2000,TUN,47
2000,TUR,57
2000,UAE,4
2000,UGA,13
2000,UKR,230
2000,URU,15
2000,USA,586
2000,UZB,70
2000,VAN,3
2000,VEN,50
2000,VIE,7
2000,VIN,4
2000,YEM,2
2000,ZAM,8
2000,ZIM,16
2002,AND,3
2002,ARG,11
2002,ARM,9
2002,AUS,25
2002,AUT,90
2002,AZE,4
2002,BEL,6
2002,BER,1
2002,BIH,2
2002,BLR,64
2002,BRA,10
2002,BUL,23
2002,CAN,150
2002,CHI,6
2002,CHN,66
2002,CMR,1
2002,CRC,1
2002,CRO,13
2002,CYP,1
2002,CZE,76
2002,DEN,11
2002,ESP,7
2002,EST,17
2002,FIJ,1
2002,FIN,98
2002,FRA,114
2002,GBR,49
2002,GEO,4
2002,GER,157
2002,GRE,10
2002,HKG,2
2002,HUN,25
2002,IND,1
2002,IRI,2
2002,IRL,6
2002,ISL,6
2002,ISR,5
2002,ISV,8
2002,ITA,109
2002,JAM,2
2002,JPN,103
2002,KAZ,50
2002,KEN,1
2002,KGZ,2
2002,KOR,46
2002,LAT,47
2002,LIB,2
2002,LIE,8
2002,LTU,8
2002,MDA,5
2002,MEX,3
2002,MGL,4
2002,MKD,2
2002,MON,5
2002,NED,27
2002,NEP,1
2002,NOR,77
2002,NZL,10
2002,POL,27
2002,ROU,21
2002,RSA,1
2002,RUS,151
2002,SCG,6
2002,SLO,40
2002,SMR,1
2002,SUI,110
2002,SVK,49
2002,SWE,102
2002,THA,1
2002,TJK,1
2002,TPE,6
2002,TTO,3
2002,TUR,3
2002,UKR,68
2002,USA,202
2002,UZB,6
2002,VEN,4
2004,AFG,5
2004,AHO,3
2004,ALB,7
2004,ALG,61
2004,AND,6
2004,ANG,30
2004,ANT,5
2004,ARG,152
2004,ARM,18
2004,ARU,4
2004,ASA,3
2004,AUS,470
2004,AUT,74
2004,AZE,36
2004,BAH,22
2004,BAN,4
2004,BAR,10
2004,BDI,7
2004,BEL,50
2004,BEN,4
2004,BER,10
2004,BHU,2
2004,BIH,9
2004,BIZ,2
2004,BLR,151
2004,BOL,7
2004,BOT,11
2004,BRA,243
2004,BRN,10
2004,BRU,1
2004,BUL,95
2004,BUR,5
2004,CAF,4
2004,CAM,4
2004,CAN,262
2004,CAY,5
2004,CGO,5
2004,CHA,1
2004,CHI,22
2004,CHN,383
2004,CIV,5
2004,CMR,17
2004,COD,4
2004,COK,3
2004,COL,53
2004,COM,3
2004,CPV,3
2004,CRC,20
2004,CRO,81
2004,CUB,151
2004,CYP,20
2004,CZE,142
2004,DEN,92
2004,DMA,2
2004,DOM,33
2004,ECU,16
2004,EGY,97
2004,ERI,4
2004,ESA,7
2004,ESP,316
2004,EST,42
2004,ETH,26
2004,FIJ,8
2004,FIN,53
2004,FRA,308
2004,FSM,5
2004,GAB,5
2004,GAM,2
2004,GBR,264
2004,GBS,3
2004,GEO,32
2004,GEQ,2
2004,GER,441
2004,GHA,26
2004,GRE,426
2004,GRN,5
2004,GUA,18
2004,GUI,3
2004,GUM,4
2004,GUY,4
2004,HAI,8
2004,HKG,32
2004,HON,5
2004,HUN,209
2004,INA,38
2004,IND,73
2004,IRI,37
2004,IRL,46
2004,IRQ,24
2004,ISL,26
2004,ISR,36
2004,ISV,6
2004,ITA,364
2004,IVB,1
2004,JAM,47
2004,JOR,8
2004,JPN,306
2004,KAZ,114
2004,KEN,46
2004,KGZ,29
2004,KIR,3
2004,KOR,264
2004,KSA,16
2004,KUW,11
2004,LAO,5
2004,LAT,32
2004,LBA,8
2004,LBR,2
2004,LCA,2
2004,LES,3
2004,LIB,5
2004,LIE,1
2004,LTU,59
2004,LUX,10
2004,MAD,8
2004,MAR,55
2004,MAS,26
2004,MAW,4
2004,MDA,33
2004,MDV,4
2004,MEX,109
2004,MGL,20
2004,MKD,10
2004,MLI,21
2004,MLT,7
2004,MON,3
2004,MOZ,4
2004,MRI,9
2004,MTN,2
2004,MYA,2
2004,NAM,8
2004,NCA,5
2004,NED,210
2004,NEP,6
2004,NGR,70
2004,NIG,4
2004,NOR,52
2004,NRU,3
2004,NZL,148
2004,OMA,2
2004,PAK,26
2004,PAN,4
2004,PAR,22
2004,PER,12
2004,PHI,16
2004,PLE,3
2004,PLW,4
2004,PNG,4
2004,POL,194
2004,POR,81
2004,PRK,36
2004,PUR,43
2004,QAT,15
2004,ROU,108
2004,RSA,106
2004,RUS,446
2004,RWA,5
2004,SAM,3
2004,SCG,85
2004,SEN,15
2004,SEY,9
2004,SGP,16
2004,SKN,2
2004,SLE,2
2004,SLO,79
2004,SMR,5
2004,SOL,2
2004,SOM,2
2004,SRI,7
2004,STP,2
2004,SUD,4
2004,SUI,98
2004,SUR,4
2004,SVK,64
2004,SWE,115
2004,SWZ,3
2004,SYR,6
2004,TAN,8
2004,TGA,5
2004,THA,42
2004,TJK,9
2004,TKM,9
2004,TLS,2
2004,TOG,3
2004,TPE,88
2004,TTO,19
2004,TUN,54
2004,TUR,64
2004,UAE,4
2004,UGA,11
2004,UKR,239
2004,URU,15
2004,USA,533
2004,UZB,69
2004,VAN,2
2004,VEN,48
2004,VIE,11
2004,VIN,3
2004,YEM,3
2004,ZAM,6
2004,ZIM,12
2006,ALB,1
2006,ALG,2
2006,AND,3
2006,ARG,9
2006,ARM,5
2006,AUS,40
2006,AUT,73
2006,AZE,2
2006,BEL,4
2006,BER,1
2006,BIH,6
2006,BLR,28
2006,BRA,9
2006,BUL,21
2006,CAN,191
2006,CHI,9
2006,CHN,73
2006,CRC,1
2006,CRO,23
2006,CYP,1
2006,CZE,83
2006,DEN,4
2006,ESP,16
2006,EST,26
2006,ETH,1
2006,FIN,90
2006,FRA,82
2006,GBR,39
2006,GEO,3
2006,GER,155
2006,GRE,5
2006,HKG,1
2006,HUN,19
2006,IND,4
2006,IRI,2
2006,IRL,4
2006,ISL,5
2006,ISR,5
2006,ITA,179
2006,JPN,110
2006,KAZ,55
2006,KEN,1
2006,KGZ,1
2006,KOR,40
2006,LAT,57
2006,LIB,3
2006,LIE,5
2006,LTU,7
2006,LUX,1
2006,MAD,1
2006,MDA,6
2006,MGL,2
2006,MKD,3
2006,MON,4
2006,NED,33
2006,NEP,1
2006,NOR,67
2006,NZL,15
2006,POL,45
2006,POR,1
2006,PRK,6
2006,ROU,25
2006,RSA,3
2006,RUS,174
2006,SCG,6
2006,SEN,1
2006,SLO,36
2006,SMR,1
2006,SUI,125
2006,SVK,58
2006,SWE,106
2006,THA,1
2006,TJK,1
2006,TPE,1
2006,TUR,6
2006,UKR,52
2006,USA,204
2006,UZB,4
2006,VEN,1
2008,AFG,4
2008,AHO,3
2008,ALB,11
2008,ALG,56
2008,AND,5
2008,ANG,32
2008,ANT,5
2008,ARG,132
2008,ARM,25
2008,ARU,2
2008,ASA,4
2008,AUS,432
2008,AUT,70
2008,AZE,44
2008,BAH,25
2008,BAN,5
2008,BAR,8
2008,BDI,3
2008,BEL,94
2008,BEN,5
2008,BER,6
2008,BHU,2
2008,BIH,5
2008,BIZ,4
2008,BLR,177
2008,BOL,7
2008,BOT,11
2008,BRA,268
2008,BRN,14
2008,BUL,70
2008,BUR,6
2008,CAF,3
2008,CAM,4
2008,CAN,332
2008,CAY,4
2008,CGO,5
2008,CHA,2
2008,CHI,26
2008,CHN,599
2008,CIV,21
2008,CMR,32
2008,COD,5
2008,COK,4
2008,COL,67
2008,COM,3
2008,CPV,2
2008,CRC,8
2008,CRO,99
2008,CUB,158
2008,CYP,17
2008,CZE,134
2008,DEN,84
2008,DJI,2
2008,DMA,2
2008,DOM,24
2008,ECU,25
2008,EGY,100
2008,ERI,10
2008,ESA,11
2008,ESP,283
2008,EST,47
2008,ETH,27
2008,FIJ,6
2008,FIN,57
2008,FRA,309
2008,FSM,5
2008,GAB,4
2008,GAM,3
2008,GBR,304
2008,GBS,3
2008,GEO,35
2008,GEQ,3
2008,GER,420
2008,GHA,9
2008,GRE,152
2008,GRN,9
2008,GUA,12
2008,GUI,5
2008,GUM,6
2008,GUY,4
2008,HAI,7
2008,HKG,34
2008,HON,25
2008,HUN,171
2008,INA,24
2008,IND,53
2008,IRI,54
2008,IRL,55
2008,IRQ,4
2008,ISL,27
2008,ISR,43
2008,ISV,7
2008,ITA,333
2008,IVB,2
2008,JAM,50
2008,JOR,7
2008,JPN,332
2008,KAZ,130
2008,KEN,46
2008,KGZ,20
2008,KIR,2
2008,KOR,265
2008,KSA,14
2008,KUW,8
2008,LAO,4
2008,LAT,47
2008,LBA,6
2008,LBR,3
2008,LCA,4
2008,LES,5
2008,LIB,6
2008,LIE,2
2008,LTU,71
2008,LUX,13
2008,MAD,6
2008,MAR,47
2008,MAS,32
2008,MAW,4
2008,MDA,29
2008,MDV,4
2008,MEX,83
2008,MGL,28
2008,MHL,5
2008,MKD,7
2008,MLI,17
2008,MLT,6
2008,MNE,19
2008,MON,5
2008,MOZ,4
2008,MRI,11
2008,MTN,2
2008,MYA,6
2008,NAM,10
2008,NCA,6
2008,NED,237
2008,NEP,8
2008,NGR,74
2008,NIG,4
2008,NOR,84
2008,NRU,1
2008,NZL,178
2008,OMA,4
2008,PAK,21
2008,PAN,5
2008,PAR,7
2008,PER,13
2008,PHI,15
2008,PLE,4
2008,PLW,5
2008,PNG,7
2008,POL,257
2008,POR,77
2008,PRK,58
2008,PUR,22
2008,QAT,20
2008,ROU,101
2008,RSA,134
2008,RUS,454
2008,RWA,4
2008,SAM,6
2008,SEN,15
2008,SEY,9
2008,SGP,25
2008,SKN,4
2008,SLE,3
2008,SLO,61
2008,SMR,4
2008,SOL,3
2008,SOM,2
2008,SRB,87
2008,SRI,8
2008,STP,3
2008,SUD,9
2008,SUI,83
2008,SUR,4
2008,SVK,57
2008,SWE,123
2008,SWZ,4
2008,SYR,7
2008,TAN,9
2008,TGA,3
2008,THA,47
2008,TJK,15
2008,TKM,10
2008,TLS,1
2008,TOG,4
2008,TPE,79
2008,TTO,28
2008,TUN,26
2008,TUR,67
2008,TUV,3
2008,UAE,8
2008,UGA,11
2008,UKR,243
2008,URU,12
2008,USA,588
2008,UZB,56
2008,VAN,3
2008,VEN,108
2008,VIE,13
2008,VIN,2
2008,YEM,5
2008,ZAM,8
2008,ZIM,13
2010,ALB,1
2010,ALG,1
2010,AND,6
2010,ARG,7
2010,ARM,4
2010,AUS,40
2010,AUT,75
2010,AZE,2
2010,BEL,8
2010,BER,1
2010,BIH,5
2010,BLR,47
2010,BRA,5
2010,BUL,19
2010,CAN,201
2010,CAY,1
2010,CHI,3
2010,CHN,86
2010,COL,1
2010,CRO,19
2010,CYP,2
2010,CZE,90
2010,DEN,17
2010,ESP,18
2010,EST,30
2010,ETH,1
2010,FIN,91
2010,FRA,104
2010,GBR,52
2010,GEO,6
2010,GER,149
2010,GHA,1
2010,GRE,7
2010,HKG,1
2010,HUN,15
2010,IND,3
2010,IRI,4
2010,IRL,6
2010,ISL,4
2010,ISR,3
2010,ITA,109
2010,JAM,1
2010,JPN,91
2010,KAZ,37
2010,KGZ,2
2010,KOR,45
2010,LAT,53
2010,LIB,3
2010,LIE,4
2010,LTU,6
2010,MAR,1
2010,MDA,7
2010,MEX,1
2010,MGL,2
2010,MKD,3
2010,MNE,1
2010,MON,3
2010,NED,32
2010,NEP,1
2010,NOR,95
2010,NZL,16
2010,PAK,1
2010,PER,3
2010,POL,46
2010,POR,1
2010,PRK,2
2010,ROU,28
2010,RSA,2
2010,RUS,175
2010,SEN,1
2010,SLO,47
2010,SMR,1
2010,SRB,10
2010,SUI,134
2010,SVK,68
2010,SWE,101
2010,TJK,1
2010,TPE,1
2010,TUR,5
2010,UKR,45
2010,USA,212
2010,UZB,3
2012,AFG,6
2012,ALB,9
2012,ALG,38
2012,AND,6
2012,ANG,33
2012,ANT,4
2012,ARG,137
2012,ARM,24
2012,ARU,4
2012,ASA,4
2012,AUS,405
2012,AUT,70
2012,AZE,52
2012,BAH,21
2012,BAN,5
2012,BAR,6
2012,BDI,6
2012,BEL,111
2012,BEN,5
2012,BER,8
2012,BHU,2
2012,BIH,6
2012,BIZ,3
2012,BLR,160
2012,BOL,5
2012,BOT,4
2012,BRA,248
2012,BRN,12
2012,BRU,3
2012,BUL,63
2012,BUR,5
2012,CAF,6
2012,CAM,6
2012,CAN,273
2012,CAY,4
2012,CGO,7
2012,CHA,2
2012,CHI,35
2012,CHN,375
2012,CIV,9
2012,CMR,32
2012,COD,4
2012,COK,8
2012,COL,101
2012,COM,3
2012,CPV,3
2012,CRC,11
2012,CRO,107
2012,CUB,109
2012,CYP,13
2012,CZE,133
2012,DEN,114
2012,DJI,4
2012,DMA,2
2012,DOM,33
2012,ECU,36
2012,EGY,109
2012,ERI,12
2012,ESA,10
2012,ESP,278
2012,EST,32
2012,ETH,33
2012,FIJ,9
2012,FIN,56
2012,FRA,324
2012,FSM,6
2012,GAB,21
2012,GAM,2
2012,GBR,530
2012,GBS,4
2012,GEO,34
2012,GEQ,2
2012,GER,383
2012,GHA,7
2012,GRE,102
2012,GRN,8
2012,GUA,19
2012,GUI,4
2012,GUM,8
2012,GUY,6
2012,HAI,5
2012,HKG,41
2012,HON,25
2012,HUN,152
2012,INA,22
2012,IND,81
2012,IOA,4
2012,IRI,52
2012,IRL,64
2012,IRQ,8
2012,ISL,27
2012,ISR,37
2012,ISV,7
2012,ITA,281
2012,IVB,2
2012,JAM,45
2012,JOR,9
2012,JPN,291
2012,KAZ,113
2012,KEN,47
2012,KGZ,14
2012,KIR,3
2012,KOR,250
2012,KSA,18
2012,KUW,10
2012,LAO,3
2012,LAT,45
2012,LBA,4
2012,LBR,3
2012,LCA,4
2012,LES,4
2012,LIB,10
2012,LIE,3
2012,LTU,62
2012,LUX,9
2012,MAD,7
2012,MAR,63
2012,MAS,29
2012,MAW,3
2012,MDA,20
2012,MDV,5
2012,MEX,99
2012,MGL,29
2012,MHL,4
2012,MKD,4
2012,MLI,6
2012,MLT,5
2012,MNE,33
2012,MON,6
2012,MOZ,6
2012,MRI,11
2012,MTN,2
2012,MYA,6
2012,NAM,9
2012,NCA,6
2012,NED,173
2012,NEP,5
2012,NGR,49
2012,NIG,6
2012,NOR,61
2012,NRU,2
2012,NZL,178
2012,OMA,3
2012,PAK,21
2012,PAN,8
2012,PAR,8
2012,PER,16
2012,PHI,11
2012,PLE,5
2012,PLW,5
2012,PNG,8
2012,POL,210
2012,POR,76
2012,PRK,52
2012,PUR,25
2012,QAT,12
2012,ROU,105
2012,RSA,124
2012,RUS,429
2012,RWA,7
2012,SAM,8
2012,SEN,31
2012,SEY,6
2012,SGP,23
2012,SKN,4
2012,SLE,2
2012,SLO,65
2012,SMR,4
2012,SOL,4
2012,SOM,2
2012,SRB,116
2012,SRI,7
2012,STP,2
2012,SUD,6
2012,SUI,98
2012,SUR,5
2012,SVK,47
2012,SWE,133
2012,SWZ,3
2012,SYR,10
2012,TAN,6
2012,TGA,3
2012,THA,37
2012,TJK,16
2012,TKM,10
2012,TLS,2
2012,TOG,6
2012,TPE,44
2012,TTO,25
2012,TUN,83
2012,TUR,112
2012,TUV,3
2012,UAE,26
2012,UGA,15
2012,UKR,230
2012,URU,27
2012,USA,530
2012,UZB,53
2012,VAN,5
2012,VEN,68
2012,VIE,18
2012,VIN,3
2012,YEM,4
2012,ZAM,7
2012,ZIM,7
2014,ALB,1
2014,AND,6
2014,ARG,7
2014,ARM,4
2014,AUS,60
2014,AUT,126
2014,AZE,3
2014,BEL,7
2014,BER,1
2014,BIH,5
2014,BLR,26
2014,BRA,13
2014,BUL,18
2014,CAN,217
2014,CAY,1
2014,CHI,6
2014,CHN,62
2014,CRO,11
2014,CYP,1
2014,CZE,87
2014,DEN,10
2014,DMA,1
2014,ESP,20
2014,EST,25
2014,FIN,99
2014,FRA,107
2014,GBR,53
2014,GEO,4
2014,GER,151
2014,GRE,7
2014,HKG,1
2014,HUN,16
2014,IND,2
2014,IOA,1
2014,IRI,5
2014,IRL,5
2014,ISL,5
2014,ISR,4
2014,ISV,1
2014,ITA,110
2014,IVB,1
2014,JAM,2
2014,JPN,109
2014,KAZ,50
2014,KGZ,1
2014,KOR,71
2014,LAT,56
2014,LIB,2
2014,LIE,3
2014,LTU,9
2014,LUX,1
2014,MAR,2
2014,MDA,4
2014,MEX,1
2014,MGL,2
2014,MKD,3
2014,MLT,1
2014,MNE,2
2014,MON,5
2014,NED,39
2014,NEP,1
2014,NOR,110
2014,NZL,14
2014,PAK,1
2014,PAR,1
2014,PER,3
2014,PHI,1
2014,POL,58
2014,POR,2
2014,ROU,22
2014,RUS,213
2014,SLO,58
2014,SMR,2
2014,SRB,8
2014,SUI,152
2014,SVK,62
2014,SWE,99
2014,TGA,1
2014,THA,2
2014,TJK,1
2014,TLS,1
2014,TOG,2
2014,TPE,3
2014,TUR,6
2014,UKR,42
2014,USA,222
2014,UZB,3
2014,VEN,1
2014,ZIM,1
2016,AFG,3
2016,ALB,6
2016,ALG,64
2016,AND,4
2016,ANG,26
2016,ANT,8
2016,ARG,215
2016,ARM,31
2016,ARU,7
2016,ASA,4
2016,AUS,420
2016,AUT,71
2016,AZE,56
2016,BAH,29
2016,BAN,7
2016,BAR,11
2016,BDI,9
2016,BEL,104
2016,BEN,6
2016,BER,8
2016,BHU,2
2016,BIH,11
2016,BIZ,3
2016,BLR,120
2016,BOL,12
2016,BOT,12
2016,BRA,462
2016,BRN,33
2016,BRU,3
2016,BUL,51
2016,BUR,5
2016,CAF,6
2016,CAM,6
2016,CAN,310
2016,CAY,5
2016,CGO,10
2016,CHA,2
2016,CHI,42
2016,CHN,392
2016,CIV,12
2016,CMR,22
